Source,Account,Time Posted,Content,Location,Klout,Follow
Twitter Web App,paddywpd,07/05/2019 07:47,Extinction Rebellion statement on the UN IPBES 2019 Global Assessment on Biodiversity https://t.co/7t27wF7nwJ… https://t.co/2pmtiTdBIY,Edinburgh,,149
Twitter for Android,lukka_priya,07/05/2019 07:43,"I can't read this letter to XR enough - solidarity, non repetition of colonial exploitation and a rebellion against… https://t.co/BjMqfHWz4O","London, UK",,81
Twitter Web Client,may_gun,07/05/2019 07:42,"@nacnudnosilla As I understand it, the way things changed in the Netherlands was mass protest over pedestrian death… https://t.co/uQejZU3cor","South Pasadena, CA",,3593
TweetDeck,joydot,07/05/2019 07:41,"The fight for climate justice is the fight of our lives, and we need to do it right. @ExtinctionR, are you going… https://t.co/JqVEMfgt4t",Wurundjeri land | Melbourne,,1922
Twitter for Android,TE3187QMW,07/05/2019 07:41,"@talkRADIO @JuliaHB1 Given that Extinction Rebellion have had an impact on the news cycle, we should ask what the c… https://t.co/lh32annkVG",London,,26
Twitter Web App,69mib,07/05/2019 07:36,"EXTINCTION REBELLIONScientists will find low-cost, low-carbon energy sources. But it won’t be cheap. So perhaps th… https://t.co/meP1Ihs11C",England,,8303
Twitter Web Client,Jimmy_Burns,07/05/2019 07:31,"Sorry, Emma Thompson, but you’ll never be perfect enough to save the planet | Zoe Williams https://t.co/gZv8biL3H2 Essential reading",,,4503
Twitter Web Client,meike_b,07/05/2019 07:29,"If Politicians Can’t Face Climate Change, Extinction Rebellion Will https://t.co/3Elov91Ng7",london,,951
Twitter Web Client,CienciaxPueblo,07/05/2019 07:27,"Cuando hay desobediencia civil, hay presas/os: Extinction Rebellion told prison is not a 'yoga retreat'… https://t.co/E8BiU0yDMC",Madrid,,4201
Twitter Web Client,aidanwarszawa,07/05/2019 07:24,Thank goodness kids who have more courage and backbone than some politicians and probably me - let's wake up https://t.co/03ttS8bjC6,"Warsaw, Poland",,113
Twitter Web Client,AManOfEarth,07/05/2019 07:22,"An this is the same arse that told Extinction Rebellion ""We hear you!""There is an upcoming Action next week I sha… https://t.co/lEJ0AHbxtc",Armageddon,,28
Facebook,BossSancho,07/05/2019 07:22,Fashion costs the Earth: #XR52 Boycott New Clothing - Extinction Rebellion https://t.co/YU7tKray5o,"Sanko, Dubreka, Guinea",,537
Twitter for Android,allan_crawshaw,07/05/2019 07:20,https://t.co/416FkgyDIF,"Victoria, B.C.",,3697
Twitter for iPhone,1DebraLeeTaylor,07/05/2019 07:19,Who Runs Extinction Rebellion? Heiko Reveals His Findings & Questions So... https://t.co/wPRM33fNGx via @YouTube,Shepperton,,32
Twitter for iPhone,NippleBonerFart,07/05/2019 07:16,"I’m sick of this line that everyone has come up with, “I don’t agree with the tactics of extinction rebellion but I… https://t.co/fnFLdoRzuF","Meath, Ireland",,80
Twitter Web Client,ivanka,07/05/2019 07:13,The UN IPBES report on biodiversity released on Monday shows that our way of life is causing nature to collapse. … https://t.co/IlKBmWmBHY,"South East, England",,9260
Facebook,GuernseyPete,07/05/2019 07:11,"All the fine words of support for the Extinction Rebellion, Greta Thunberg/School Strikes, David Attenborough Film,… https://t.co/wS76Bb5bvF","Launceston, England",,394
Twitter Web Client,dxbruelhart,07/05/2019 07:06,"So plant ""Extinction Rebellion"" im UK den Aufstand fürs Klima https://t.co/QvZJsdpQO2 via @KLIMAREPORT",Uster / Netstal,,1457
Twitter Web Client,dxbruelhart,07/05/2019 07:06,"So plant ""Extinction Rebellion"" im UK den Aufstand fürs Klima https://t.co/QvZJsdpQO2 via @KLIMAREPORT",Uster / Netstal,,1457
Twitter for Android,Onetokeoverthe1,07/05/2019 07:04,"@talkRADIO @danwootton Who cares about Extinction rebellion, just a bunch of communists wanting to destroy capitalism.",R'Lyeh,,56
