Source,Account,Time Posted,Content,Location,Klout,Follow
Facebook,visionlifehakz,07/05/2019 10:32,Thoughts as I share this...“Women are the main social force standing in the way of a complete commercialization o… https://t.co/hXewEaB9Dn,"Wales, United Kingdom",,20
Twitter Web Client,matiabaraja,07/05/2019 10:29,"enemies of #XR leadership: not corporate dominance such as Unilever, Volans (recently confirmed  by XR Business), n… https://t.co/4tMPTQmzOv","sanctuary borough Haringey, the future",,723
Twitter Web Client,stuartctaylor,07/05/2019 10:26,oh dear... Extinction Rebellion appear to have confused 'going to prison' and 'going on holiday' https://t.co/lTebYoQHiO,North London (heart in Wales),,1585
Twitter for iPad,DrKatyBowen,07/05/2019 10:24,Save  VICTORIA TOWER GARDENS :  no building in this precious London park! - Sign the Petition!… https://t.co/JSEMWn9Wpj,South Devon,,2091
Twitter Web Client,BBCtrending,07/05/2019 10:18,Extinction Rebellion apologises for poor wording of online prison guide after backlash from civil rights activists.… https://t.co/tNdvuDLkxh,"London, UK",,215711
Twitter for iPhone,ajacquitaylor,07/05/2019 10:17,"Extinction Rebellion Training, or How to Control Radical Resistance from the 'Obstructive Left' - Wrong Kind of Gre… https://t.co/IYt13ENvtH",#IStandWithSoldierF 🇬🇧 ,,480
Twitter Web Client,redot2005,07/05/2019 10:12,"Extinction Rebellion Has Changed The Conversation, Time For Activists To Recognize That https://t.co/QAbUefpPfD via @PopResistance","Madelia, Minnesota",,14445
Twitter Web Client,redot2005,07/05/2019 10:11,For The Love Of Winning: An Open Letter To Extinction Rebellion https://t.co/KnDtD6LYs4 via @PopResistance,"Madelia, Minnesota",,14445
Twitter for Android,wmnjoya,07/05/2019 10:11,"@ActionKenyaPAC Even the Western citizens are telling their states to shape up, and here you are, schooling me on h… https://t.co/TVhbEhBUvF",,,57603
Twitter Web Client,Steve_Ratcliffe,07/05/2019 10:04,McDonnell: I Just Love Extinction Rebellion... They're Brilliant https://t.co/BauVIOgV5B via @GuidoFawkes,,,267
Twitter Web Client,ConSciImperial,07/05/2019 10:02,"This weeks Drop Bear #blog is written by @acethecurious on her experience with @ExtinctionR! ""We need #change, now.… https://t.co/zwvwOCvw6C","Sunningdale, South East",,371
Buffer,rajendrashende,07/05/2019 10:02,A #MILLION #plant and #animal species to be #WIPED FROM #EARTH - scientists’ chilling warning… https://t.co/Bsd2rSReWk,"France, India,Italy,Scotland,",,1539
Twitter Web App,kanecurtis,07/05/2019 09:56,At what point does the knowledge of our planetary emergency demand deliberate disruptive action? Find a local cha… https://t.co/U9Rsd1bNMv,"Lund, Sverige",,297
Twitter for iPhone,JFMcCarthy3250,07/05/2019 09:55,"Is this the only way to go?After Extinction Rebellion, Australian politicians are on notice – change is coming | C… https://t.co/X7JubuMjxU","Canberra, Australian Capital Territory",,40
Twitter Web Client,Anuradhatweet,07/05/2019 09:54,Two open letters to Extinction Rebellion are essential reading this weekend https://t.co/rk4QfDR0Hz,UK,,298
Twitter Web Client,Paul_Hendriksen,07/05/2019 09:54,Extinction Rebellion statement on the UN IPBES 2019 Global Assessment on Biodiversity https://t.co/U8DTO5QTMl… https://t.co/mShhTOngRI,Olst,,1264
Facebook,GreedForHer,07/05/2019 09:51,"Climate activists have always made mistakes, and Extinction Rebellion has too. But passing judgement on their imper… https://t.co/SFZ01aujSX",,,374
WordPress.com,GreedForHer,07/05/2019 09:51,"Climate activists have always made mistakes, and Extinction Rebellion has too. But passing judgement on their imper… https://t.co/NJ49BsQ1Ey",,,374
Twitter Web App,jamespriceglos,07/05/2019 09:48,It's upsetting that Extinction Rebellion and Emma Thompson get so much attention when the 'evil Tory scum' governme… https://t.co/Ro0xJw1UbU,"London, England",,2125
Twitter for iPad,MuuPuklip,07/05/2019 09:46,@crimlawuk Diesel?! 😱Extinction Rebellion will tow a big pink yacht to your home and abandon it where it blocks y… https://t.co/AKbborwqTg,,,204
Facebook,emmamondanse,07/05/2019 09:44,"FB live, street dances and die-ins: How Extinction Rebellion is taking root in Young India | India News - Times of… https://t.co/g92hQx8X6k",West Midlands ,,772
Twitter for Android,isotopp,07/05/2019 09:41,"@Cron2Gert @ohhellokathrina Der Name Extinction Rebellion, er ist kein Zufall und wurde nicht gewählt weil es ein guter Bandname wäre","Amsterdam, The Netherlands",,2194
Twitter for Android,VillageVeganUK,07/05/2019 09:37,@NickWiltonNS @StrongerStabler @JunckerEU @eucopresident @guyverhofstadt My views are my own and I'm certainly free… https://t.co/WHxPkRBZ3K,Yorkshire and The Humber,,739
originalfm.com,originalfm,07/05/2019 09:37,Climate activists hang banners bearing logo of Extinction Rebellion in Aberdeen https://t.co/eOrIMMlKPm,Aberdeen,,16584
Twitter Web Client,ProfDaveAndress,07/05/2019 09:30,"The ultimate goal - very nearly reached by figures such as Farage and Trump - is to rebrand vice itself as virtue,… https://t.co/oCNqgJ5IQM","Portsmouth, UK",,7130
Twitter for iPhone,zoesqwilliams,07/05/2019 09:26,"Sorry, Emma Thompson, but you’ll never be perfect enough to save the planet | Climate change | The Guardian https://t.co/C5A6ILaVF6",London,,68714
Twitter Web Client,janinecalderba1,07/05/2019 09:24,Two open letters to Extinction Rebellion are essential reading this weekend https://t.co/YArLlrc6jq,Merseyside,,330
SocialFlow,HuffPostUKBlogs,07/05/2019 09:15,'Conservatives like must be more vocal about our government’s real achievements in tackling climate change – the fa… https://t.co/O0jQdDGyrI,London,,20298
Twitter Web Client,robedwards53,07/05/2019 09:14,Cases against climate activists who disrupted oil dinner are dropped https://t.co/jW3aHq5WNB,Edinburgh,,6542
Twitter for iPad,alienbeekeeper,07/05/2019 09:13,On the weekend I went to a talk by a couple of guys from Extinction Rebellion who were at the London protests. What… https://t.co/CDmrjSzQYd,Stratford-upon-Avon,,441
Twitter Web Client,HarmoneyMichabo,07/05/2019 09:09,Extinction Rebellion cannot succeed without understand the crucial role of the truth about how modern money really… https://t.co/OjIiTyBUKj,,,11
Twitter for Android,LeedsInShetland,07/05/2019 09:04,'All charges dropped' over Edinburgh Extinction Rebellion oil club dinner protest 👍🏻 @ScotlandXr @ExtinctionRhttps://t.co/NzkWIsfKJw,"Vagr, Nordlige Øer og Ǫmstr",,2476
TweetDeck,myfairobserver,07/05/2019 09:00,"An estimated 1.4 million young people, in Canada and all over the world, collectively skipped school that Friday to… https://t.co/pTwoG7mCy4","Mountain View, CA, USA",,13309
HubSpot,UrbanVolt,07/05/2019 08:58,The UK government’s official climate adviser this week claimed that the country can zero out its contributions to… https://t.co/jcaZMQfMgu,Worldwide,,956
Twitter Web Client,marcellocarlin,07/05/2019 08:58,"Despite the clickbait headline, this is an interesting piece:https://t.co/uorllRpL6A",,,698
WordPress.com,brightsblog,07/05/2019 08:58,"Es zählt nur das, was ökologisch notwendig ist, um diese Krise abzuwenden https://t.co/gF3RmXC1xC kämpfen Mitglie… https://t.co/CZYOlgqBHR",,,11143
Twitter for Android,6acb75e8f9494e5,07/05/2019 08:55,@ACCIONA_EN Join Extinction Rebellion.,,,39
Twitter for iPhone,_ms_mak,07/05/2019 08:54,@extinctsymbol Heads up. Cheeky fuckers! I’ve written to Amazon saying they need to take them down. I encourage an… https://t.co/BzIQSgSf4Y,London,,1260
Twitter for iPhone,BMHayward,07/05/2019 08:53,people have been asking why I have such a big problem with Extinction Rebellion & the call to emergency - -1) becau… https://t.co/bb5J2L3o2T,,,5407
Twitter Web Client,naomi2009,07/05/2019 08:52,More than 40 per cent of insect species are threatened with extinction owing to intensive agriculture.… https://t.co/D0a9GM8Bln,"London, UK",,3378
Twitter Web Client,naomi2009,07/05/2019 08:51,Butterfly numbers have fallen by over 80% in the last 130 years. https://t.co/njqccv5w55 via @timesofindia,"London, UK",,3378
Twitter Web Client,naomi2009,07/05/2019 08:51,"Species are going extinct at rates 1,000 times the normal rates typical of the Earth’s past. https://t.co/njqccv5w55 via @timesofindia","London, UK",,3378
Twitter Web App,DimitriLaunder,07/05/2019 08:51,@chenineb Letter of support and warning worth a read https://t.co/WcAGqaAUIE warning,Updates from @ARBONAUTS,,2386
Twitter Web Client,ChNAUDIN,07/05/2019 08:48,PEPINO et son groupe EXTINCTION REBELLION @XtinctionRebel prône la grève des naissances à cause de l'urgence climat… https://t.co/gek8HELn1n,PARIS,,396
Twitter for Android,SquatterTheAnt,07/05/2019 08:48,"Sorry, Emma Thompson, but you’ll never be perfect enough to save the planethttps://t.co/hYdXlLCdeB",,,48
IFTTT,pguilli,07/05/2019 08:48,An open letter to Extinction Rebellion | Red Pepper https://t.co/qMUXSNNQTk,,,93
Twitter Web Client,aliciaperris,07/05/2019 08:47,"Música, arte y cultura: EXTINCTION REBELLION: CLIMATE CHANGE PROTESTERS AT... https://t.co/lsm75kfk4d",madrid,,587
Twitter Web App,johnrf66,07/05/2019 08:46,On decolonising the Rebellion https://t.co/A4SM5QDSKD,,,550
Facebook,DennyPaoa,07/05/2019 08:43,https://t.co/6ke9dhmEUz https://t.co/6ke9dhmEUz,Aotearoa (NZ),,470
Facebook,EuYou_Europa,07/05/2019 08:43,Extinction Rebellion stage 'die in' at European Commission https://t.co/yYWedILX7i,Bruxelles - Madrid - Cagliari,,22
Twitter Web App,DennyPaoa,07/05/2019 08:41,https://t.co/6ke9dh53vZ,Aotearoa (NZ),,470
Facebook,designdisasterr,07/05/2019 08:41,this article reveals the strategy behind *Extinction Rebellion*. Key points: “Firstly you need *a lot of people* –… https://t.co/00XmEIA2mx,"Bolzano, Trentino-South Tyrol",,186
Twitter Web Client,ImperialsSay,07/05/2019 08:40,"@hayleyglyphs Yeah, I mean, people are snotty about Extinction Rebellion over tactics/ideology but like, what direc… https://t.co/UiOwAlgiOZ",People's Republic of areas of Hackney too expensive for ppl to live now,,2179
Twitter for iPad,Brain_inna_Jar,07/05/2019 08:40,"My timeline is full of Met Gala and Extinction Rebellion, and are we just in a massive Hunger Games LARP and nobody told me?",A fancy jar.,,201
Twitter Web App,groen_duurzaam,07/05/2019 08:39,"#Klimaat #ExtinctionRebelion #Arnhem woensdag 8 meiExtinction Rebellion: wat is het, waarom en hoe?… https://t.co/zJCGdsvyA5",drunen,,28
IFTTT,GovanSnp,07/05/2019 08:38,R/T ScotNational They had been arrested under Section 38 of the Criminal Justice Acthttps://t.co/9E9tyWUPE8,"Govan, Scotland",,434
TweetDeck,ScotNational,07/05/2019 08:37,They had been arrested under Section 38 of the Criminal Justice Acthttps://t.co/7jHFLgmZmQ,Scotland,,80270
Twitter Web App,groen_duurzaam,07/05/2019 08:34,#Klimaat #ExtinctionRebelion #Denhaag 2nd Open Meeting Extinction Rebellion The Hague woensdag 8 mei… https://t.co/sSUyRkuvAw,drunen,,28
Twitter for iPhone,amybaker217,07/05/2019 08:31,@Dandaman_genuin @stiffwing @MikeHudema @JustinTrudeau @GretaThunberg It isn’t “possible” it’s true. Not long ago a… https://t.co/PK6bDUWq4X,"March, England",,262
Twitter for iPhone,GoldishCJ,07/05/2019 08:31,Haiku thought for the day....Seral successionExtinction rebellion Plagioclimax?,"Stirling, Scotland",,1143
Twitter for Android,6acb75e8f9494e5,07/05/2019 08:31,@Kynes3 @SteveRezdo Extinction Rebellion type activism is going to be needed. No time left for appeasing corporate… https://t.co/rlsur9RQlG,,,39
Twitter Web App,GeoffreyLean,07/05/2019 08:25,Excellent piece by @zoesqwilliams on ad hominem attacks and the denial of evidence on climate change https://t.co/XEFGdf2j0H,London,,5672
Facebook,EscrimaConcepts,07/05/2019 08:22,UK hit by most wildfires in a year EVER just five months into 2019 https://t.co/KJZipb8i2d,,,666
Twitter for iPad,miller_klein,07/05/2019 08:21,This is so true and so depressing. People trying to improve the world are castigated for not having already succeed… https://t.co/8o0ty6SLBv,"ÜT: 51.551339,0.013024",,2522
Twitter Web Client,jclarekneebone,07/05/2019 08:20,If you want an end to wars/militarism then according to XR you are a purist.XR doesnt talk about ending such wars… https://t.co/bOJTaNO6GK,shropshire UK at the moment.,,3890
Twitter Web Client,RobsonCezarART,07/05/2019 08:20,"We are facing an unprecedented global emergency. The government has failed to protect us. To survive, it’s going to… https://t.co/blloAukFEW","England, United Kingdom",,418
Orlo,nxcare,07/05/2019 08:11,"@J4K3R0S3N Hi Jake, the message you are referring to was posted out on our page during the Extinction Rebellion dem… https://t.co/JC6E5EPKFr","Birmingham, UK",,20163
Twitter Web Client,wmconnolley,07/05/2019 08:10,Grauniad luvvie who cares so deeply but wants to continue to fly defends other luvvie ditto: https://t.co/xPhKYQ4GaI,Coton,,416
Twitter for iPhone,Angelaenenero,07/05/2019 08:10,"‘If ever a time called for grand visions, this is it’https://t.co/btw0iaw4kn via ⁦@nytopinion⁩",Some airport,,280
Twitter Web App,back2theGOT,07/05/2019 08:07,"Stupid argument. Change will come from little imperfect actions of imperfect beings. Not from a Messiah.Sorry, Emm… https://t.co/oytZ96zJUS",London UK,,216
Twitter for Android,dasblauegnu,07/05/2019 08:05,Das Mäuerchen hat er/sie unbemerkt inmitten der Extinction Rebellion Proteste aufgewertet. Oder vielleicht als die… https://t.co/ahwUrFx7hw,"Göttingen, Deutschland",,379
Twitter Web Client,jclarekneebone,07/05/2019 08:01,https://t.co/5M2DcRiL0s,shropshire UK at the moment.,,3890
WordPress.com,Simplenewsuk,07/05/2019 08:01,Don’t Let Extinction Rebellion Overshadow Our Government’s Climate Change Achievements https://t.co/hKGSjqeDLG,,,99
WordPress.com,MichaelEast83,07/05/2019 08:00,Extinction Rebellion React to UN IPBES 2019 Global Assessment on Biodiversity #ExtinctionRebellion… https://t.co/2C20REM4Np,U.K. 🇬🇧 | U.S. 🇺🇸,,21400
WordPress.com,UKRedRevolution,07/05/2019 08:00,Extinction Rebellion React to UN IPBES 2019 Global Assessment on Biodiversity #ExtinctionRebellion… https://t.co/s4zQRWWKqf,United Kingdom,,1474
Twitter for Android,woodseercycles,07/05/2019 07:59,Much good thinking here: An open letter to Extinction Rebellion https://t.co/ku6I0u1YTG from @redpeppermag,Scotland and London,,114
Twitter Web App,christianward,07/05/2019 07:58,Latest Stylus Future Thinking podcast now live - I talk sustainable business with Extinction Rebellion activist Sar… https://t.co/r0k6lMbTNT,London/Lewes,,2199
Twitter for iPhone,BiddyP6,07/05/2019 07:56,Extinction Rebellion statement on the UN IPBES 2019 Global Assessment on Biodiversity - Extinction Rebellion - Exti… https://t.co/XJ49P7q8ph,"Melbourne, Victoria",,113
Twitter for Android,JamesFlint,07/05/2019 07:52,Agreed Ellin. Dud you see the piece I wrote about this on Medium yesterday? https://t.co/pYDdCoJ6zU https://t.co/o566FEQy2C,London,,512
Buffer,EveningExpress,07/05/2019 07:52,Climate change protest banners featuring Extinction Rebellion logo put up in Aberdeen https://t.co/HyBnqKMkVO https://t.co/b8hFRGZ8nX,"Aberdeen, Scotland",,30548
