Source,Account,Time Posted,Content,Location,Klout,Follow
Twitter for Android,BruceHayns,05/05/2019 13:17,@TyotoRiffle Koch brothers fund massive anti science PR campaigns as you knowHuge amounts of money spent creating… https://t.co/sLyxMXIzAB,South Africa,,1475
Twitter Web Client,zhaba2374,05/05/2019 13:16,Who Runs Extinction Rebellion? Heiko Reveals His Findings & Questions So... https://t.co/BkgeYG5Q4b via @YouTube,,,114
Twitter for Android,2HawkEye2020,05/05/2019 13:14,The UK could achieve the most aggressive climate goal in the world cutting emissions 80 percent by 2050 compared to… https://t.co/q1rSykIQRv,Avengers Mansion NYC,,33188
Twitter Web Client,alcantara_alb,05/05/2019 13:12,"🆘🌍 El Parlament britànic, primer del món a aprovar una declaració d'""emergència climàtica"" ➡… https://t.co/ikvwo2zLS4",Barcelona,,7067
Twitter for Android,BruceHayns,05/05/2019 13:11,@TyotoRiffle It was accurateArctic was 35 degrees higher than average at one time last year and there have been o… https://t.co/4EQIBAg2lu,South Africa,,1475
Twitter Web Client,RickOShea321,05/05/2019 13:08,@JoanSmi54744685 2. https://t.co/tgJerIdQSn,,,623
Twitter Web Client,RickOShea321,05/05/2019 13:08,@JoanSmi54744685 You may find the two following articles of interesting. It may also be instructive as to why the m… https://t.co/qOp7bcEFGp,,,623
Twitter for Android,SoundsKenny,05/05/2019 13:07,"@BBCPolitics Best exhange on marr today: John Mcdonnell, on extinction rebellion: 'I love 'em, I just love 'em.. I… https://t.co/GFqBfjvjZs",Nicosia • Berlin • London,,35
Twitter Web Client,historyinprintx,05/05/2019 13:04,From the original Extinction Rebellion? A copy of Do or Die #7 from Earth First #ecowarriers… https://t.co/SyOHQ0M4aQ,"England, United Kingdom",,49
Twitter for iPhone,cherylcorless41,05/05/2019 13:01,I wonder if the kids skipping school for extinction rebellion protests get detention or their parents get fined 🧐🤔,manchester,,6191
TweetDeck,1828uk,05/05/2019 13:00,"Make no mistake, it's not the police who are brutal, but the violent protesters who ignore the notion of peaceful a… https://t.co/XHLKvfjbpT","London, England",,5013
Twitter Web Client,LondonComment,05/05/2019 12:58,"@GaiaFawkes @GuidoFawkes 'This morning, members of Extinction Rebellion met with Shadow Chancellor of the Exchequer… https://t.co/JyhCPfB11G","London, England",,132
Twitter Web Client,zhaba2374,05/05/2019 12:57,The Truth About Extinction Rebellion https://t.co/UFyDp3F7CK via @YouTube,,,114
Twitter for Android,HaddockAdhoc,05/05/2019 12:57,The Left has incited hysteria about climate change for political gain (the Green New Deal is their maximum dreams g… https://t.co/eAgTsYuYAU,,,684
Twitter Web Client,morrowgl,05/05/2019 12:56,The UK could achieve the most aggressive climate goal in the world https://t.co/aAbDhkz1l4 via @voxdotcom,los angeles,,1363
Twitter for iPad,tombloomfield82,05/05/2019 12:55,"Extinction Rebellion meets Michael Gove MP, UK Sec. of State for Environ... https://t.co/0DvdBFckaS via @YouTube",,,0
Twitter for iPad,JunkkMale,05/05/2019 12:52,McDonnell: I Just Love Extinction Rebellion... They're Brilliant - So he sees himself as Napoleon for Life of the f… https://t.co/SCp8lTQZMQ,"Ross on Wye, UK",,1561
Twitter for iPhone,thelittlestacks,05/05/2019 12:51,Librarians for @ExtinctionR ✊ via https://t.co/Fe07wFDyZ5 https://t.co/FQ4tcNFIYk,"West Palm Beach, FL",,117
Twitter for Android,BarefootLady,05/05/2019 12:51,@ExtinctionRFrom the south.https://t.co/2pJ4N0u4ga,"London, UK",,588
Twitter for iPhone,PVHellyar,05/05/2019 12:51,@michaelgibson72 @RidgeOnSunday @SkyNews Are Extinction Rebellion standing as a party in the EU elections? If they… https://t.co/9nufCHizGh,"Barry, Wales",,185
Twitter Web Client,ReevesJek,05/05/2019 12:50,"@dearaunty @anthea_bailey This motley shower are just a mix of anarchists, remainers and CC cultists coming togethe… https://t.co/PAYvwwnYxK",Sheffield,,2650
TweetDeck,HarryMurrison2,05/05/2019 12:50,#MarrJohn McDonnell ideas around investment for a social purpose and the Green new deal are really exciting. Th… https://t.co/a7YRfEcn2B,United Arab Emirates,,31
Twitter for Android,HaddockAdhoc,05/05/2019 12:47,Climate hysteria goes mainstream. Climate scientists are silent...and journalists too.¿Qué dirá de esto nuestro a… https://t.co/uQFTJ1jqUe,,,684
Twitter Web Client,voidthatbinds,05/05/2019 12:42,Great stuff... :-)John McDonnell on meeting Extinction Rebellion https://t.co/bEAVfQonHi via @YouTube,,,735
Twitter Web Client,varunversion1,05/05/2019 12:38,Extinction Rebellion: Risking Their Freedom For Climate Change https://t.co/TS7AkulFm8 via @YouTube,Bangalore,,383
Twitter for iPhone,LiorYakira42,05/05/2019 12:33,"@scottdesno Idk, if it will help but beginning a 🦋 garden is something that began to help me with missing someone I… https://t.co/JGNdKn8oUJ",,,266
Twitter for iPad,DRoberts44,05/05/2019 12:30,https://t.co/iahqWZsxEp via @GuidoFawkesHow shallow are Marxist Labour. They’ll try & glue themselves to anything… https://t.co/h6xO7Ymr6K,,,937
Facebook,DJStrumfels,05/05/2019 12:29,The Left has incited hysteria about climate change for political gain (the Green New Deal is their maximum dreams g… https://t.co/KEu6KRV806,"Philadelphia, PA",,459
Twitter for Android,JoongWu,05/05/2019 12:29,"As Support for Extinction Rebellion Soars, Group Says London Occupations Will End But 'International Rebellion' Will Continue  @commondreams",,,1576
Twitter Web Client,Rasmin2011,05/05/2019 12:28,An Open Letter to Extinction Rebellion - https://t.co/PbLDXeaMQF via @commondreams,,,1714
Twitter for iPhone,xrSchweiz,05/05/2019 12:27,Interesting article on how XR has been succeeding where many other other Climate protests have failed in the past.… https://t.co/yuhBHCYx1I,Switzerland,,496
Twitter Web Client,i_spywithMyEye,05/05/2019 12:26,Never mind the fact that #Corbyn didn’t mention climate change once at PMQs over the last two years until a bunch o… https://t.co/wPEMhZQ0KA,,,3
Twitter Web App,20644,05/05/2019 12:26,McDonnell: I Just Love Extinction Rebellion... They're Brilliant https://t.co/0FhIaMPrEZ via @GuidoFawkes,ipswich,,86
Twitter Web Client,mmichael0,05/05/2019 12:25,We went to an Extinction Rebellion meeting and this is what happened https://t.co/FNMHMOxLi4,Norwich,,1102
Twitter for iPhone,twistedcells,05/05/2019 12:24,Rebelling against the Extinction Rebellion https://t.co/qpjXXLtCMS,"Montréal, Québec",,55
Twitter Web Client,SotirisDKarouts,05/05/2019 12:23,Extinction-Rebellion: Αποκρυφισμός και η 5G πίσω από το νέο παγκόσμιο περιβαλλοντικό κίνημα! -… https://t.co/ZnYUCqNx4P,Athens-Greece,,1408
Twitter Web Client,KJP_Research,05/05/2019 12:18,An open letter to Extinction Rebellion https://t.co/YwUnBvKCwv from @redpeppermag,"Derby, England",,331
Twitter Web Client,FreddSays,05/05/2019 12:16,Worth it just for Charlie Mullins but then the car itself: Bentley Bentayga 4x4 ... awesome! Ultimate for Glyndebou… https://t.co/YYBDEypDdT,"Surrey, England",,1314
Twitter Web App,EcoLabs,05/05/2019 12:15,"An open letter to Extinction Rebellion""The fight for climate justice is the fight of our lives, and we need to do… https://t.co/1rB8A8yA9V","London, UK",,6911
Twitter for Android,LamentablyAwake,05/05/2019 12:14,So the co-founder of Extinction Rebellion is a Blue Labour type who thinks inclusivity is a ghetto.We just don't… https://t.co/FpxB1sJiXR,,,1362
Facebook,JanetDoolaege,05/05/2019 12:14,Extinction Rebellion activists scale trees in anti-HS2 protest https://t.co/5m4tS6Ktta,,,415
Twitter Web Client,tforcworc,05/05/2019 12:13,"#cigr2019 some suggestion that the segue from disaster capitalism/shock doctrine, to extinction rebellion and punct… https://t.co/C6e297bYED",,,1564
Twitter Web Client,EcoLabs,05/05/2019 12:08,For the love of winning: An open letter to Extinction Rebellion https://t.co/MP69kLtTzt  by Zadforever,"London, UK",,6911
Twitter Web Client,andriesbosch,05/05/2019 12:06,@Vossestein @volgzwijn @staatsbosbeheer De enige manier om dit te doorbreken is flinke druk op de politiek vanuit d… https://t.co/1DO8tgb0Wf,Amsterdam,,714
Twitter Web Client,Hyper67,05/05/2019 12:05,@SkyeMarie3918 @nadiabaltimore @ThisIsZeroHour @GretaThunberg @Jamie_Margolin @usclimatestrike @LeoDiCaprio @algore… https://t.co/t4rKux4mpp,UK,,1056
IFTTT,labourfailure,05/05/2019 12:05,McDonnell: I Just Love Extinction Rebellion… They’re Brilliant https://t.co/K2h23XUeDg,"All over the UK, for 13 years.",,404
Facebook,DaveGilmour12,05/05/2019 12:03,"EXTINCTION REBELLION! UNMITIGATED DROSS.Who and what are ‘Extinction Rebellion’? As I un derstand it, they are we… https://t.co/JH2KZieVIE","London, England",,46
TweetDeck,GaiaFawkes,05/05/2019 12:01,McDonnell: I Just Love Extinction Rebellion... They're Brilliant #Marr https://t.co/B1rhLgiXgd https://t.co/bnu1K47pMy,Everywhere,,2328
Twitter Web Client,philomene251,05/05/2019 12:01,émission spéciale Extinction Rebellion qui redonne un peu foi en l'humanité… A Bruxelles et Londres : Plus chauds q… https://t.co/35omVn6P0i,"Montreuil, Ile-de-France",,109
Twitter Web Client,zaruk,05/05/2019 12:00,"See a survey of ridiculous claims made by @ExtinctionR, what the IPCC actually says and how the media didn't fact-c… https://t.co/Hs72jjzUWq",Brussels,,3321
TweetDeck,BooksBirdBlog,05/05/2019 12:00,#ICYMI Penguin Random House is rushing an Extinction Rebellion book https://t.co/E9eUxK36O5Available to pre-order… https://t.co/x3x1Wt87iH,"Bath, England",,237
Twitter for Android,jimmy_weasel,05/05/2019 11:59,"@notamused666 Just watched her film, The Children Act. As dull as dish water. Even less convincing than her Extinct… https://t.co/ZDIzcuDw4x","South East, England",,534
